Category,Sub-Category,Features,Automaition Status,Manula Effort (in Hours),Tool Efficiency (in Hours)
,,,,,
Simple,Passthrough Skeleton,Proxy Metadata File ,Y,24,0.5
,,Proxy Endpoint ,Y,,
,,Target Endpoint  (one),Y,,
,,Flows  (<5),Y,,
,,Route Rules ,Y,,
,Rate Limiting,Spike Arrest ,Y,48,
,,Quota ,Y,,
,,Reset Quota,Y,,
,,Response Cache,Y,,
,Mediation,AssignMessage,Y,,
,,RaiseFault,Y,,
,,CORS,Y,,
,,JSONToXML,N,,
,,XMLToJSON,N,,
,Security,VerifyAPIKey,Y,,
,,AccessControl,Y,,
,,BasicAuthentication,Y,,
,Logging,MessageLogging,Y,,
,,,,,
Medium,Passthrough Skeleton,Proxy Metadata File ,Y,48,1
,,Proxy Endpoint ,Y,,
,,Target Endpoint  (Multiple),Y,,
,,Flows  (<10),Y,,
,,Target Server LB,N,,
,,Route Rules ,Y,,
,Rate Limiting,Spike Arrest ,Y,100,
,,Quota ,Y,,
,,Reset Quota,Y,,
,,Response Cache,Y,,
,,Invalidate Cache,Y,,
,,Populate Cache,Y,,
,,Lookup Cache,Y,,
,Mediation,Assign Message,Y,,
,,RaiseFault,Y,,
,,CORS,Y,,
,,ExtractVariables,N,,
,,AccessEntity,N,,
,,ReadPropertySet,N,,
,,HTTPModifier,N,,
,Security,HMAC,Y,,
,,JWT Policies,Y,,
,,DecodeJWT,Y,,
,,VerifyJWT,Y,,
,,GenerateJWT,Y,,
,,DecodeJWS,Y,,
,,VerifyJWS,Y,,
,,GenerateJWS,Y,,
,,OAuthV2,N,,
,,GetOAuthV2Info,N,,
,,DeleteOAuthV2Info,N,,
,,SetOAuthV2Info,N,,
,,RevokeOAuthV2,N,,
,,LDAP (OPDK only),N,,
,,,,,
Complex,Passthrough Skeleton,Proxy Metadata File ,Y,150,2
,,Proxy Endpoint ,Y,,
,,Target Endpoint  (Multiple),Y,,
,,Flows  (<15),Y,,
,,Target Server LB,N,,
,,Route Rules ,Y,,
,,Shared Flow,N,,
,,Flow Hook,N,,
,,KVM Store,N,,
,Rate Limiting,Spike Arrest ,N,150,
,,Quota ,N,,
,,Reset Quota,N,,
,,Response Cache,N,,
,,Invalidate Cache,N,,
,,Populate Cache,N,,
,,Lookup Cache,N,,
,Mediation,AssignMessage,N,,
,,ExtractVariables,N,,
,,SOAPMessageValidation,N,,
,,OASValidation,N,,
,,KeyValueMapOperations,N,,
,,XSLTransform,N,,
,,PublishMessage,N,,
,,ReadPropertySet,N,,
,,GraphQL,N,,
,Security,SAMLAssertion,N,,
,,JSONThreatProtection,N,,
,,XMLThreatProtection,N,,
,,RegularExpressionProtection,N,,
,,VerifyIAM (Apigee X/Hybrid),N,,
,Extension,ServiceCallout,N,,
,,JavaCallout,N,,
,,JavaScript,N,,
,,PythonScript,N,,
,,ExtensionCallout,N,,
,,FlowCallout,N,,
,,MessageLogging,N,,
,,StatisticsCollector,N,,
,,ExternalCallout,N,,
,,AssertCondition,N,,
,AI-Ml,SemanticCacheLookup,N,,
,,SemanticCachePopulate,N,,
,,SanitizeUserPrompt,N,,
,,SanitizeModelResponse,N,,
,,,,,
