Category ,Apigee Functionality ,Tool Feature Status ,Test Status ,Complexity ,Efforts required for Standard Features Addition to Tool (in Days),Remark 
,,,,,,
Enviromental Dependencies ,Shared Flows ,N ,,Complex,10,"These  are environmental dependencies of Proxies, which needs to be migrated first"
,Flow Hooks ,N ,,Complex,3,
,Target Servers ,N ,,Medium,3,
,KVM Stores ,N ,,Complex,3,
,,,,,,
Proxy Skeleton ,Proxy Metadata File ,Y , ,Simple ,,These are the xml based proxy configuration files
,Proxy Endpoint ,Y , ,Depends,,
,Target Endpoint ,Y , ,Depends,,
,Flows ,Y , ,Depends,,
,Route Rules ,Y , ,Depends,,
,,,,,,
Apigee Policies-Traffic Management,Spike Arrest ,Y , ,Simple,, 
,Quota ,Y , ,Simple,, 
,Reset Quota,Y ,,Simple,,
,Response Cache,Y , ,Simple,, 
,Invalidate Cache,Y ,,Medium,,
,Populate Cache,Y ,,Medium,,
,Lookup Cache,Y ,,Medium,,
,,,,,,
 Apigee Polcies-Mediation,AssignMessage,Y , ,Depends,, 
,ExtractVariables,N , ,Depends,2, 
,AccessEntity,N , ,Medium,2, 
,JSONToXML,N , ,Simple ,2, 
,XMLToJSON,N , ,Simple ,2, 
,RaiseFault,Y , ,Medium,, 
,SOAPMessageValidation,N , ,Complex,3, 
,OASValidation,N , ,Complex,3, 
,KeyValueMapOperations,N , ,Complex,2, 
,XSLTransform,N , ,Complex,3, 
,PublishMessage, N, ,Complex,2, 
,ReadPropertySet,N ,,Medium,3,
,GraphQL,N ,,Complex,3,
,CORS,Y ,,Simple ,,
,HTTPModifier,N ,,Medium,3,
,,,,,,
Apigee Polcies-Security ,AccessControl,Y ,,Simple,,These will mostly require third party applications ready to be integrated 
,BasicAuthentication,Y ,,Simple,,
,HMAC,Y ,,Medium,,
,JWT Policies,Y ,,Medium,,
,DecodeJWT,Y ,,Medium,,
,VerifyJWT,Y ,,Medium,,
,GenerateJWT,Y ,,Medium,,
,DecodeJWS,Y ,,Medium,,
,VerifyJWS,Y ,,Medium,,
,GenerateJWS,Y ,,Medium,,
,OAuthV2,N ,,Medium,3,
,GetOAuthV2Info,N ,,Medium,1,
,DeleteOAuthV2Info,N ,,Medium,1,
,SetOAuthV2Info,N ,,Medium,1,
,RevokeOAuthV2,N ,,Medium,1,
,VerifyAPIKey,Y ,,Simple ,,
,LDAP (OPDK only),N ,,Medium,2,
,SAMLAssertion,N ,,Complex,3,
,JSONThreatProtection,N ,,Complex,2,
,XMLThreatProtection,N ,,Complex,2,
,RegularExpressionProtection,N ,,Complex,3,
,VerifyIAM (Apigee X/Hybrid),N ,,Complex,,
,,,,,,
Apigee Polcies-Extension,ServiceCallout,N ,,Complex,3,These require extensive work and third party dependencies
,JavaCallout,N ,,Complex,3,
,JavaScript,N ,,Complex,3,
,PythonScript,N ,,Complex,3,
,ExtensionCallout,N ,,Complex,3,
,FlowCallout,N ,,Complex,3,
,MessageLogging,Y ,,Simple ,,
,StatisticsCollector,N ,,Complex,3,
,ExternalCallout,N ,,Complex,3,
,AssertCondition,N ,,Complex,3,
,,,,,,
Apigee Polcies-AI/LLM-Specific,SemanticCacheLookup,N ,,Complex,Research,These are AI based Functionalities may or may not be adoptable
,SemanticCachePopulate,N ,,Complex,Research,
,SanitizeUserPrompt,N ,,Complex,Research,
,SanitizeModelResponse,N ,,Complex,Research,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Declaration,,,,,,
All migrations are based on standard configurational mappings. For any advanced configurations there will be requirement of enhancement,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Referances,,,,,,
Terminologies,,,,Explanations,,
Depends,,,,"Depends In the complexities section it indicates its not fixed to simple/medium/complex. Base on the count, size or logic it can be evaluated to any one of the complexities.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
